Ticker,Ticker+SA,Nome,Negócios
BNBR3,BNBR3.SA,Banco do Nordeste,600
EUCA3,EUCA3.SA,Eucatex,600
BDLL4,BDLL4.SA,Bardella,600
EKTR4,EKTR4.SA,Elektro,500
FIEI3,FIEI3.SA,Fica,500
PATI3,PATI3.SA,Panatlântica,400
CRPG6,CRPG6.SA,Tronox Pigmentos,400
OSXB3,OSXB3.SA,OSX Brasil,400
PATI4,PATI4.SA,Panatlântica,300
FESA3,FESA3.SA,Ferbasa,300
ESTR4,ESTR4.SA,Estrela,300
ATED3,ATED3.SA,ATOM EDUCAÇÃO E EDITORA S.A.,300
SOND5,SOND5.SA,Sondotécnica,200
OFSA3,OFSA3.SA,Ourofino Saúde Animal,200
MWET4,MWET4.SA,Wetzel,200
MNDL3,MNDL3.SA,Mundial,200
REDE3,REDE3.SA,Rede Energia,200
PLAS3,PLAS3.SA,Plascar,200
BIOM11,BIOM11.SA,Biomm,200
CGAS3,CGAS3.SA,Comgás,100
GEPA4,GEPA4.SA,Rio Paranapanema Energia,100
RVEE3,RVEE3.SA,REVEE,100
RVEE3,RVEE3.SA,REVEE S.A.,100
BMKS3,BMKS3.SA,Monark,9
DTCY3,DTCY3.SA,Dtcom,14.7
MRSA3B,MRSA3B.SA,MRS Logística,1
NEXP3,NEXP3.SA,Brasil Brokers,1
CEEB3,CEEB3.SA,COELBA,500
BALM4,BALM4.SA,Baumer,500
DEXP4,DEXP4.SA,Dexxos,500
UNIP5,UNIP5.SA,Unipar,400
CBEE3,CBEE3.SA,Ampla Energia,200
MRSA6B,MRSA6B.SA,MRS Logística,100
GEPA3,GEPA3.SA,Rio Paranapanema Energia,100
EQMA3B,EQMA3B.SA,Equatorial Maranhão,100
COCE3,COCE3.SA,Coelce,100
BRKM6,BRKM6.SA,Braskem,100
PPLA11,PPLA11.SA,PPLA,40
CTKA4,CTKA4.SA,Karsten,600
B1003,B1003.SA,B1003,200
PSVM11,PSVM11.SA,PORTO VM,200
AFLT3,AFLT3.SA,Afluente T,200
CLSC3,CLSC3.SA,Celesc,100
EALT3,EALT3.SA,Electro Aço Altona,100
CEED3,CEED3.SA,CEEE D,100
GSHP3,GSHP3.SA,General Shopping & Outlets,2.8
OIBR3,OIBR3.SA,Oi,1.667.600
OIBR4,OIBR4.SA,Oi,5.6
CCTY3,CCTY3.SA,REDVECO PROPERTIES S.A,900
CCTY3,CCTY3.SA,RDVC CITY,900
WLMM3,WLMM3.SA,WLM,500
BRSR5,BRSR5.SA,Banrisul,500
HBTS5,HBTS5.SA,Habitasul,400
BMIN4,BMIN4.SA,Banco Mercantil de Investimentos,100
USIM6,USIM6.SA,Usiminas,100
PEAB4,PEAB4.SA,Participações Aliança da Bahia,2.3
BDLL3,BDLL3.SA,Bardella,400
PEAB3,PEAB3.SA,Participações Aliança da Bahia,200
DOHL3,DOHL3.SA,Döhler,100
RPAD3,RPAD3.SA,Alfa Holdings,200
RPAD6,RPAD6.SA,Alfa Holdings,5.8
BMIN3,BMIN3.SA,Banco Mercantil de Investimentos,300
RPAD5,RPAD5.SA,Alfa Holdings,100
EQPA5,EQPA5.SA,Equatorial Energia Pará,100
